,1-ZCRm,2-Energym,3-EnergyEntropym,4-SpectralCentroidm,5-SpectralSpreadm,6-SpectralEntropym,7-SpectralFluxm,8-SpectralRolloffm,9-MFCCs1m,10-MFCCs2m,11-MFCCs3m,12-MFCCs4m,13-MFCCs5m,14-MFCCs6m,15-MFCCs7m,16-MFCCs8m,17-MFCCs9m,18-MFCCs10m,19-MFCCs11m,20-MFCCs12m,21-MFCCs13m,22-ChromaVector1m,23-ChromaVector2m,24-ChromaVector3m,25-ChromaVector4m,26-ChromaVector5m,27-ChromaVector6m,28-ChromaVector7m,29-ChromaVector8m,30-ChromaVector9m,31-ChromaVector10m,32-ChromaVector11m,33-ChromaVector12m,34-ChromaDeviationm,35-ZCRstd,36-Energystd,37-EnergyEntropystd,38-SpectralCentroidstd,39-SpectralSpreadstd,40-SpectralEntropystd,41-SpectralFluxstd,42-SpectralRolloffstd,43-MFCCs1std,44-MFCCs2std,45-MFCCs3std,46-MFCCs4std,47-MFCCs5std,48-MFCCs6std,49-MFCCs7std,50-MFCCs8std,51-MFCCs9std,52-MFCCs10std,53-MFCCs11std,54-MFCCs12std,55-MFCCs13std,56-ChromaVector1std,57-ChromaVector2std,58-ChromaVector3std,59-ChromaVector4std,60-ChromaVector5std,61-ChromaVector6std,62-ChromaVector7std,63-ChromaVector8std,64-ChromaVector9std,65-ChromaVector10std,66-ChromaVector11std,67-ChromaVector12std,68-ChromaDeviationstd,69-BPM,70-BPMconf,71-BPMessentia,class
0,0.136439588,0.08886126,3.201200556,0.262825496,0.249211625,1.114422929,0.007002703,0.256682029,-22.72325934,1.594073996,0.011276072,0.204467793,0.042071965,0.04855159,0.158505492,0.118983686,-0.147955699,-0.186151731,-0.026417849,-0.007263772,-0.017900108,0.011580713,0.008746875,0.04108148,0.014496905,0.025711405,0.012587137,0.06016974,0.002864163,0.004630825,0.00957577,0.026079474,0.004160558,0.0321852,0.050143298,0.047313177,0.102995124,0.041284583,0.017725492,0.414830555,0.005866813,0.133777637,0.83830234,0.505911029,0.356206237,0.33607449,0.288887694,0.278648643,0.283436835,0.300305285,0.287688141,0.296691801,0.25853053,0.238352124,0.194700786,0.013137505,0.011664566,0.032049287,0.015463739,0.020453437,0.012943024,0.046396645,0.003430939,0.004981003,0.010818371,0.024000544,0.005200878,0.015055979,133.3333333,0.132792038,128,BigRoom
1,0.117038518,0.108389033,3.194001063,0.247657408,0.250287901,1.065668092,0.005386791,0.199821258,-21.77587065,1.261364242,-0.113014943,0.001718441,-0.052681866,0.204129823,0.153013058,0.067214156,-0.013226731,-0.059439517,-0.008603672,0.114257158,0.171009019,0.006535452,0.002646053,0.086484503,0.008391235,0.016441572,0.009005835,0.087948082,0.002472009,0.006548819,0.007412302,0.015386229,0.005978259,0.041115568,0.043713397,0.043721188,0.099449249,0.03938563,0.01894582,0.407164154,0.003612812,0.110333941,0.624185027,0.476992672,0.353150844,0.335549657,0.283832263,0.269620919,0.24415039,0.246659804,0.257189709,0.272035566,0.26947654,0.222393328,0.187470702,0.006761001,0.003152035,0.058923213,0.009012465,0.016106489,0.009385787,0.071725578,0.004460749,0.006441084,0.007469469,0.015498694,0.005588744,0.019339279,120,0.112766504,126,BigRoom
2,0.085307774,0.128525419,3.123837347,0.217204829,0.228652218,0.789646506,0.008247493,0.156822325,-22.47272216,1.42518502,0.186748827,0.417114303,0.076406101,0.190803168,-0.016302483,0.075038207,0.107869977,0.216874083,0.095603847,0.020976795,-0.037011392,0.007143161,0.002959631,0.220526294,0.005639158,0.010151101,0.007452554,0.043906706,0.001240043,0.004346988,0.007988934,0.017621612,0.002635769,0.066048772,0.032920032,0.037617771,0.117703668,0.041508671,0.022644919,0.340130451,0.007696719,0.085784396,1.028739561,0.449132872,0.297935497,0.266730826,0.258298597,0.275012114,0.218367584,0.198390343,0.210176668,0.212533223,0.204457775,0.197633506,0.16490957,0.007835971,0.003079402,0.093865033,0.005692147,0.008211673,0.005450753,0.042900294,0.001529241,0.004556033,0.007722947,0.017481797,0.002901256,0.022200799,133.3333333,0.123373243,129,BigRoom
3,0.103049917,0.167041735,3.150830069,0.233593067,0.245032222,0.967082277,0.006570628,0.168082712,-21.4707514,1.463686147,0.226547743,0.404531354,0.117699199,0.081861343,0.053974441,0.164865401,0.014918882,0.117089716,0.027778424,-0.063172613,-0.05260563,0.010723512,0.003339549,0.125459068,0.005728397,0.014694796,0.006322008,0.072153538,0.001628251,0.003493048,0.011462511,0.032204303,0.00473801,0.046159269,0.036349198,0.061959963,0.134908042,0.03256354,0.02003643,0.365067765,0.005215346,0.086336416,0.769981317,0.425495747,0.245312246,0.260131784,0.224219996,0.207597493,0.199471757,0.207818486,0.189912428,0.185509012,0.187273314,0.177629371,0.164740005,0.008330384,0.003527686,0.061425789,0.005442572,0.01238224,0.004985411,0.057998647,0.001590526,0.003514159,0.009476815,0.023162265,0.004164726,0.015379447,133.3333333,0.158876181,129,BigRoom
4,0.151729949,0.148404714,3.194497946,0.293730035,0.26723128,1.353005279,0.003872194,0.292055434,-21.37115654,1.187853846,0.184415194,0.363723861,0.232119277,0.112277005,0.107334667,0.159295693,0.067212816,-0.018713275,0.091528636,0.117344402,0.0916161,0.009624409,0.004030719,0.076133056,0.008175158,0.016267051,0.009927345,0.08836438,0.002645338,0.004053809,0.011082947,0.023925925,0.002247819,0.036760757,0.055214144,0.041138899,0.122270917,0.036637306,0.017732051,0.458739647,0.002900332,0.148463806,1.023153737,0.431075015,0.352098989,0.327841553,0.237180347,0.230674932,0.23653786,0.257209711,0.270380127,0.242086017,0.229678083,0.211438554,0.179588636,0.010859584,0.005389871,0.046998861,0.008597624,0.015578629,0.009180131,0.069484999,0.003944671,0.004131315,0.011329547,0.028188094,0.002638818,0.019078563,133.3333333,0.190707857,129,BigRoom
5,0.127046737,0.15348785,3.221987103,0.261692903,0.25736055,1.090034352,0.004942701,0.230098903,-21.23484605,1.541916656,0.049063729,0.194576113,0.063894792,0.058360709,0.050882668,0.07151842,0.00643094,0.011620776,0.0682742,0.130295029,0.104190558,0.009467058,0.005906344,0.079737628,0.011579557,0.014766967,0.012331809,0.078990792,0.00210537,0.00525574,0.01202529,0.031828754,0.002446778,0.041917948,0.050219792,0.048120892,0.073129251,0.0439292,0.019323204,0.46187073,0.003706624,0.138257282,0.872498317,0.418115647,0.323800756,0.332064922,0.240971771,0.212894725,0.224637572,0.225901888,0.236724447,0.227541278,0.232699956,0.216200901,0.193793252,0.00959946,0.008033461,0.058463568,0.011038536,0.011852767,0.011430247,0.059939347,0.002985783,0.006532778,0.010346729,0.02500825,0.003034865,0.019478825,133.3333333,0.168932528,129,BigRoom
6,0.123395302,0.106206061,3.167860665,0.245459381,0.245342376,1.107315579,0.008418752,0.217212564,-22.68373761,1.405071541,0.118771826,0.646518878,0.090650804,0.17456378,0.053182867,0.024105731,-0.045683183,0.153717691,0.126856051,0.02770502,-0.152214267,0.014485117,0.00242163,0.092603715,0.010015171,0.021776041,0.00640008,0.04403755,0.003402758,0.007906301,0.01305246,0.022743763,0.002966263,0.03449609,0.038485878,0.056340087,0.121416191,0.036895029,0.019332297,0.368052479,0.00709764,0.100008597,0.861204914,0.553281924,0.285810354,0.265963726,0.253457915,0.214164405,0.214898241,0.208218332,0.205746642,0.220656653,0.23451358,0.194750352,0.176015526,0.016256745,0.002349228,0.05119771,0.012799937,0.019958166,0.005169073,0.040698123,0.003394208,0.006970144,0.01146162,0.019005911,0.002789567,0.013330132,133.3333333,0.259904913,133,BigRoom
7,0.140027382,0.084696928,3.148168074,0.267148442,0.259154717,1.188881058,0.007937919,0.259598497,-22.70707684,1.46804465,-0.155444412,0.397960001,0.231832058,0.164367048,0.048508204,0.041399003,-0.107772868,-0.06672854,0.03272051,0.070957366,0.082826778,0.007845496,0.002853663,0.07710042,0.00697123,0.016591832,0.012130567,0.101868776,0.00246715,0.00414314,0.007565454,0.02550267,0.003043343,0.039542343,0.046062409,0.042359842,0.112595052,0.042650625,0.018278608,0.376240026,0.006253249,0.148667123,0.898669549,0.373287051,0.329865682,0.266801626,0.280483194,0.217480521,0.184906785,0.194362428,0.189401363,0.190574694,0.18742388,0.173264186,0.164607315,0.007714744,0.002953561,0.056515789,0.006453226,0.012729285,0.010176647,0.059534839,0.002541777,0.003818813,0.006957954,0.024555818,0.002650056,0.014854847,133.3333333,0.198615548,129,BigRoom
8,0.117635201,0.146971703,3.182842371,0.24368504,0.244967567,1.099032578,0.005453826,0.195806787,-20.83781534,1.456354626,0.016727945,0.266850174,0.102626097,0.084005731,-0.004171512,-0.009111334,-0.077261975,0.090645141,0.039456561,0.082046132,0.020676314,0.009714937,0.003508795,0.088294254,0.008659198,0.012238027,0.008927803,0.058739796,0.002740091,0.008298209,0.019189599,0.027051725,0.003149475,0.036167094,0.032875641,0.048499269,0.093086496,0.029530757,0.016448423,0.331669164,0.003249636,0.083071274,0.637532751,0.340400053,0.284489618,0.268532659,0.295840021,0.246098854,0.231302552,0.212359408,0.205207576,0.194612114,0.205478452,0.21417636,0.191210799,0.0094419,0.003292473,0.04883717,0.00800189,0.009424837,0.008501635,0.053233201,0.002812042,0.007645818,0.013200094,0.024579612,0.003015632,0.013857029,133.3333333,0.148708583,133,BigRoom
9,0.137400181,0.127165867,3.11755417,0.297955996,0.279299604,1.076697577,0.006725077,0.271957048,-22.96299202,1.70580405,0.135986981,0.123109912,-0.005290364,-0.025106114,-0.052422941,0.03011229,0.090758356,0.138337047,0.110342378,0.041654135,0.042205943,0.007936331,0.003105506,0.117962073,0.004993525,0.012572511,0.006303384,0.073300383,0.001626515,0.005299762,0.013401929,0.024952325,0.003663136,0.043038527,0.064349517,0.067663088,0.180277304,0.057455471,0.020675387,0.530818319,0.00547873,0.197681421,1.312354166,0.466470755,0.35893098,0.33759077,0.310588493,0.260669015,0.242582936,0.232068658,0.218762527,0.269006141,0.208187783,0.204668069,0.193398949,0.008389638,0.003942858,0.071009537,0.005266209,0.013335046,0.005602439,0.061236578,0.002407357,0.006268162,0.012650195,0.024556519,0.004807389,0.019158596,133.3333333,0.172005044,133,BigRoom
